order_datetime,origin_longitude,origin_latitude,m_order_eta,order_gk,order_status_key,is_driver_assigned_key,cancellations_time_in_seconds
18:08:07,-0.978916,51.456173,60,3.00058E+12,4,1,198
20:57:32,-0.950385,51.456843,,3.00058E+12,4,0,128
12:07:50,-0.96952,51.455544,477,3.00058E+12,4,1,46
13:50:20,-1.054671,51.460544,658,3.00058E+12,4,1,62
21:24:45,-0.967605,51.458236,,3.00058E+12,9,0,
21:21:23,-0.947011,51.45638,,3.00058E+12,9,0,
7:58:15,-0.955637,51.470372,,3.00058E+12,9,0,
7:53:46,-0.97823,51.454575,,3.00058E+12,9,0,
8:53:01,-1.052298,51.454308,,3.00058E+12,9,0,
6:33:52,-0.976216,51.433202,,3.00058E+12,4,0,78
15:40:15,-0.93467,51.447065,,3.00058E+12,4,0,167
20:59:35,-0.972735,51.452489,,3.00058E+12,4,0,45
6:25:31,-0.958791,51.459481,,3.00058E+12,4,0,79
16:55:28,-0.950683,51.451368,538,3.00058E+12,4,1,188
0:59:26,-0.937006,51.448696,179,3.00058E+12,4,1,316
0:04:16,-0.974519,51.454603,,3.00058E+12,9,0,
8:49:32,-1.011756,51.456498,,3.00058E+12,9,0,
8:18:52,-0.940321,51.421571,,3.00058E+12,4,0,183
8:24:56,-0.966304,51.448351,,3.00058E+12,4,0,120
8:49:02,-0.963172,51.454195,,3.00058E+12,9,0,
13:21:15,-0.978916,51.456173,60,3.00058E+12,4,1,475
12:57:52,-0.933755,51.446834,117,3.00058E+12,4,1,41
8:37:53,-0.972037,51.456781,898,3.00058E+12,4,1,101
7:17:19,-0.971389,51.44927,,3.00058E+12,4,0,93
14:08:23,-0.973763,51.458671,,3.00063E+12,4,0,117
17:48:41,-0.968298,51.466217,,3.00063E+12,4,0,70
8:59:15,-0.974281,51.475314,958,3.00063E+12,4,1,121
22:59:25,-0.956267,51.443196,237,3.00063E+12,4,1,156
22:41:17,-0.963063,51.449616,178,3.00063E+12,4,1,527
17:07:30,-0.962999,51.450598,,3.00063E+12,9,0,
18:59:28,-0.989163,51.484478,,3.00063E+12,9,0,
8:41:43,-0.957923,51.441124,,3.00063E+12,9,0,
8:45:25,-0.966842,51.472315,,3.00063E+12,9,0,
1:23:42,-0.944732,51.443863,478,3.00063E+12,4,1,65
19:14:07,-0.94275,51.45527,,3.00063E+12,4,0,148
